"hour","measure"
"09:01","483",
"09:02","69",
"09:03","166",
"09:04","681",
"09:05","300",
"09:06","424",
"09:07","185",
"09:08","375",
"09:09","268",
"09:10","169",
"09:11","224",
"09:12","55",
"09:13","623",
"09:14","174",
"09:15","547",
"09:16","288",
"09:17","217",
"09:18","61",
"09:19","363",
"09:20","746",
"09:21","495",
"09:22","665",
"09:23","665",
"09:24","606",
"09:25","119",
"09:26","784",
"09:27","139",
"09:28","574",
"09:29","638",
"09:30","539",
"09:31","123",
"09:32","156",
"09:33","460",
"09:34","573",
"09:35","721",
"09:36","270",
"09:37","620",
"09:38","163",
"09:39","164",
"09:40","741",
"09:41","590",
"09:42","723",
"09:43","654",
"09:44","36",
"09:45","329",
"09:46","767",
"09:47","510",
"09:48","296",
"09:49","395",
"09:50","726",
"09:51","111",
"09:52","319",
"09:53","395",
"09:54","685",
"09:55","44",
"09:56","97",
"09:57","776",
"09:58","228",
"09:59","48"
